name;price;genre1;genre2;genre3;genre4;metacritic;release;likes;achievements;linux;mac;windows;owners;players_forever;players_2weeks;average_forever;average_2weeks;median_forever;median_2weeks
Starbound;13.99;Action;Adventure;Casual;Indie;64;4-12-2013;42623;0;True;True;True;1847400;1809611;120731;2752;454;1356;74
Super Meat Boy;13.99;Indie;;;;87;30-11-2010;13100;48;True;True;True;1975689;1664850;43797;311;41;106;13
Team Fortress 2;0;Action;Free to Play;;;92;10-10-2007;258070;513;True;True;True;2.79E+07;2.79E+07;2106304;4456;591;291;197
Terraria;9.99;Action;Adventure;Indie;RPG;83;16-5-2011;75602;0;False;False;True;5829592;5450539;409091;3633;423;1122;62
The Binding of Isaac;4.99;Action;Adventure;Indie;RPG;84;28-9-2011;33859;99;False;True;True;2590779;2284785;110267;1849;144;391;23
The Elder Scrolls V: Skyrim;14.99;RPG;;;;94;10-11-2011;126750;75;False;False;True;8893219;8469206;983872;6469;528;2839;126
The Walking Dead;22.99;Adventure;;;;82;24-4-2012;21787;48;False;True;True;1706128;1482881;19379;766;221;677;76
The Witcher: Enhanced Edition Director's Cut;7.99;Action;RPG;;;86;16-9-2008;8798;0;False;True;True;2059601;1535592;156582;860;451;179;132
The Witcher 2: Assassins of Kings Enhanced Edition;19.99;RPG;;;;88;16-4-2012;17305;52;True;True;True;3060526;2212113;258322;882;335;285;103
Tomb Raider;19.99;Action;Adventure;;;86;4-3-2013;35970;50;False;True;True;3045411;2521015;91081;903;204;646;53
Tom Clancy's Ghost Recon Phantoms - EU;0;Free to Play;;;;70;10-4-2014;13880;57;False;False;True;2658606;1535592;86818;1346;449;284;111
Torchlight II;18.99;Action;Adventure;Indie;RPG;88;20-9-2012;19160;119;True;True;True;2877782;2601244;72284;1479;268;669;88
Total War: ROME II - Emperor Edition;54.99;Strategy;;;;76;2-9-2013;22251;150;False;True;True;1902824;1805929;219177;6705;714;2291;256
Total War: SHOGUN 2;29.99;Strategy;;;;90;14-3-2011;9700;106;False;True;True;2340209;2135566;96895;4310;511;1405;156
Unturned;0;Action;Adventure;Casual;Free to Play;75;7-7-2014;128061;37;False;True;True;1.47E+07;1.08E+07;957129;645;233;162;56
Warface;0;Action;Free to Play;;;62;1-7-2014;12275;30;False;False;True;2985529;1793139;124801;560;271;85;66
Warframe;0;Action;Free to Play;;;68;25-3-2013;57693;132;False;False;True;7256081;4237801;471297;3577;932;294;183
Warhammer 40000: Dawn of War II;14.99;Strategy;;;;85;18-2-2009;2597;73;False;False;True;2258042;1800310;36820;1897;268;779;68
War Thunder;0;Free to Play;Massively Multiplayer;Simulation;;82;15-8-2013;36143;0;True;True;True;5619330;3265556;469747;2371;470;349;148
XCOM: Enemy Unknown;19.99;Strategy;;;;89;11-10-2012;21953;85;True;True;True;2648722;2198742;134490;2722;543;1356;195
